first_name,last_name,email,Password,gender,Phone Number,Credit Card number,Drug Name,Drug Company,Price,Image,stocks,Drug Code
Ennis,Grimmert,egrimmert0@creativecommons.org,1lkaN57x,Male,212-616-5455,67630150359694874,Instant Hand Sanitizer,"Ningbo Pulisi Daily Chemical Products Co., Ltd",71,http://dummyimage.com/161x247.png/dddddd/000000,74,40104-703
Mendy,Woodard,mwoodard1@fema.gov,s2Ke84EhIRP,Male,239-881-2764,,Hydrocodone Bitartrate and Acetaminophen,Atlantic Biologicals Corps,26,http://dummyimage.com/104x162.png/5fa2dd/ffffff,55,17856-1295
Hasty,Meldrum,hmeldrum2@auda.org.au,apR6ySO8q,Male,902-106-4130,,Antiperspirant and Deodorant,Conopco Inc. d/b/a Unilever,19,http://dummyimage.com/190x195.png/cc0000/ffffff,60,64942-1106
Idalia,Sone,isone3@japanpost.jp,r6FxOhjSZm1,Female,153-570-3455,,Ginger,"Nelco Laboratories, Inc.",79,http://dummyimage.com/149x141.png/dddddd/000000,25,36987-1697
Jamesy,Bodemeaid,jbodemeaid4@nba.com,LvPmmL3MIUN,Male,568-238-1364,,Naproxen,Camber Pharmaceuticals,74,http://dummyimage.com/173x161.png/5fa2dd/ffffff,10,31722-340
Mavis,Merwe,mmerwe5@hugedomains.com,Q52ZDW,Female,477-467-0849,,artemisia annua pollen,"Allergy Laboratories, Inc.",82,http://dummyimage.com/221x209.png/dddddd/000000,21,54575-166
Ned,Salling,nsalling6@shutterfly.com,gb7vSJBOx,Male,515-751-8945,,Triclosan,The Dial Corporation,24,http://dummyimage.com/130x224.png/cc0000/ffffff,53,54340-802
Marji,Bigland,mbigland7@intel.com,OGPcfsAo,Female,747-983-4599,3563962342114687,Oral-B Fluorinse Mint,Oral-B Laboratories,67,http://dummyimage.com/140x226.png/5fa2dd/ffffff,64,0041-0350
Walton,Pennazzi,wpennazzi8@accuweather.com,7xpGuYe1YIK,Male,539-999-4708,,capsaicin and menthol,Health Care Products,98,http://dummyimage.com/226x112.png/ff4444/ffffff,94,61787-499
Hanson,Surmon,hsurmon9@goo.ne.jp,i2nfML,Male,976-674-6959,5602218774213218,Metoprolol succinate,Par Pharmaceutical Inc.,18,http://dummyimage.com/221x200.png/ff4444/ffffff,76,49884-407
Faina,MacClay,fmacclaya@craigslist.org,QRrJStkz,Female,205-802-9205,5007668623079510,"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE",AMOREPACIFIC,12,http://dummyimage.com/153x169.png/dddddd/000000,67,43419-304
Jobye,Matussov,jmatussovb@spotify.com,lY0w0J,Female,563-758-6460,,ARNICA MONTANA - FUMARIC ACID - GOLD - LEAD - MELATONIN - MELILOTUS - OLEA EUROPAEA FLOWER - PORK KIDNEY - RAUWOLFIA SERPENTINA - SODIUM PYRUVATE - SPIGELIA - SUS SCROFA ADRENAL GLAND - SUS SCROFA DIE,Guna spa,49,http://dummyimage.com/194x158.png/ff4444/ffffff,2,17089-347
Bernadette,Scobbie,bscobbiec@mashable.com,S5KeUdvB6h,Female,736-690-5890,,temazepam,STAT Rx USA LLC,10,http://dummyimage.com/217x250.png/ff4444/ffffff,22,42549-561
Sidonia,Stabler,sstablerd@unesco.org,NK5fmFY,Female,420-723-6590,5893888840281858,calcium carbonate,GlaxoSmithKline Consumer Heathcare LP,64,http://dummyimage.com/244x204.png/ff4444/ffffff,4,0135-0246
Theodor,Thorold,tthorolde@multiply.com,z9Rgst2A,Male,497-252-1929,589303036891657462,TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,7,http://dummyimage.com/205x157.png/dddddd/000000,10,68745-1087
Latisha,Sapwell,lsapwellf@mapquest.com,kS0fYbLIq,Female,432-577-4896,,DIMETHICONE,THE KROGER CO,77,http://dummyimage.com/218x179.png/dddddd/000000,44,59450-315
Idell,Ledram,iledramg@ebay.com,3tNkBKYN,Female,459-444-1211,,HYDROCHLOROTHIAZIDE,STAT RX USA LLC,23,http://dummyimage.com/204x195.png/ff4444/ffffff,42,16590-294
Loralyn,Casellas,lcasellash@google.fr,wcX5hYMq5m,Female,396-254-5153,0604108872893517,Oat Smut,"Nelco Laboratories, Inc.",76,http://dummyimage.com/149x222.png/dddddd/000000,22,36987-2154
Galina,Feeham,gfeehami@ustream.tv,pSeQ5NnJ7ab,Female,576-555-9286,6333422264593584,hydroxyzine hydrochloride,Roerig,89,http://dummyimage.com/103x171.png/5fa2dd/ffffff,18,0049-5460
Cynde,Brentnall,cbrentnallj@dailymotion.com,v0Ej0CLRcLI,Female,439-888-7536,3572829866209467,Calcium Acetate,Cardinal Health,78,http://dummyimage.com/217x201.png/ff4444/ffffff,93,55154-7750
Celinda,Garvill,cgarvillk@blogs.com,Txw03EOb18,Female,879-291-0278,,TRICLOSAN,DOLGENCORP INC.,92,http://dummyimage.com/115x243.png/cc0000/ffffff,8,55910-296
Calley,Fairholme,cfairholmel@nhs.uk,Z9q8rUs,Female,927-120-6817,,pasireotide,Novartis Pharmaceuticals Corporation,18,http://dummyimage.com/131x114.png/dddddd/000000,94,0078-0635
Anica,Southwick,asouthwickm@cornell.edu,JYuE8Yx0cfH,Female,520-428-8163,50381427252415020,flurbiprofen,"Physicians Total Care, Inc.",93,http://dummyimage.com/250x155.png/ff4444/ffffff,78,54868-3362
Zackariah,Keen,zkeenn@ycombinator.com,d8M8YBw,Male,448-486-9224,3562387040323011,Isopropyl Alcohol,Medical Chemical Corporation,59,http://dummyimage.com/194x204.png/cc0000/ffffff,53,12745-541
Spencer,Carn,scarno@nih.gov,tUwsGMfKbz,Male,596-566-8853,,DIMETHICONE,DZA Brands LLC,39,http://dummyimage.com/204x228.png/dddddd/000000,69,55316-315
Elnar,Grammer,egrammerp@imgur.com,16afk2FNXWBX,Male,223-996-0790,3547122268784242,"Bryonia, Ignatia, Nux Vom, Phos, Sepia","BDMP, LLC",71,http://dummyimage.com/107x237.png/cc0000/ffffff,14,54616-001
Erda,Vondracek,evondracekq@bloglines.com,ZFGW8jTRqLR,Female,387-915-6280,6331108904164173,BUPROPION HYDROCHLORIDE,STAT RX USA LLC,70,http://dummyimage.com/115x205.png/5fa2dd/ffffff,55,16590-589
Kass,Romagnosi,kromagnosir@hud.gov,zYJe6cFjHa,Female,835-651-3491,201562074677556,"OCTINOXATE, OCTISALATE, OXYBENZONE, TITANIUM DIOXIDE, and ZINC OXIDE",Aramis Inc.,15,http://dummyimage.com/203x131.png/cc0000/ffffff,59,42472-002
Jada,Voaden,jvoadens@sun.com,XRYJZtmVJYEM,Female,581-245-1591,5602227107128837,"octinoxate, octisalate","Sun & Skin Care Research, LLC",45,http://dummyimage.com/166x249.png/cc0000/ffffff,51,62802-915
Harriot,Ebbetts,hebbettst@virginia.edu,lck5RF,Female,128-930-6594,,Triclosan,"SJ Creations, Inc.",47,http://dummyimage.com/123x225.png/cc0000/ffffff,54,43269-619
Towney,Vyvyan,tvyvyanu@trellian.com,TWvpe8DRwal,Male,511-601-3915,,Nitrogen,C & C Oxygen Company,40,http://dummyimage.com/138x109.png/dddddd/000000,31,50322-003
Roddy,Dudney,rdudneyv@facebook.com,oC89nf,Male,527-424-7067,3536277810239468,LIDOCAINE HYDROCHLORIDE ANHYDROUS and EPINEPHRINE,REMEDYREPACK INC.,23,http://dummyimage.com/217x138.png/ff4444/ffffff,96,52125-654
Moise,Thom,mthomw@icio.us,GZZ0gnsWdw,Male,587-383-7453,30522914100042,lorazepam,Baxter Healthcare Corporation,22,http://dummyimage.com/121x204.png/cc0000/ffffff,64,60977-116
Starlene,Conibeer,sconibeerx@house.gov,mVuxUSjZm,Female,313-284-5944,,gabapentin,Parke-Davis Div of Pfizer Inc,19,http://dummyimage.com/103x132.png/dddddd/000000,77,0071-0806
Salvatore,Arnaud,sarnaudy@oracle.com,4eNowgck,Male,132-585-5586,,Hydrocodone Bitartrate and Acetaminophen,"Amneal Pharmaceuticals of New York, LLC",20,http://dummyimage.com/203x241.png/dddddd/000000,43,53746-110
Elene,Bickford,ebickfordz@icio.us,yQvP2hrUv,Female,121-500-3609,3537325497860640,"OCTINOXATE, OCTOCRYLENE, and TITANIUM DIOXIDE",SHISEIDO AMERICAS CORPORATION,100,http://dummyimage.com/186x206.png/5fa2dd/ffffff,58,58411-125
Lacee,Kinnon,lkinnon10@ovh.net,gDPoAec7u4,Female,108-163-1575,3556847502021666,"Bacitracin Zinc, Neomycin Sulfate, and Polymyxin B Sulfate","Wal-Mart Stores, Inc.",26,http://dummyimage.com/175x238.png/cc0000/ffffff,5,49035-016
Jacquenetta,Konmann,jkonmann11@apache.org,f76FLdyXhIU,Female,966-482-2125,,"AVOBENZONE, OCTOCRYLENE, OXYBENZONE",Energizer Personal Care LLC,40,http://dummyimage.com/173x143.png/dddddd/000000,67,63354-910
Pete,Pavlovic,ppavlovic12@privacy.gov.au,xvhcnZZZYwp,Male,812-120-6141,,"OCTINOXATE, TITANIUM DIOXIDE",Parfums Christian Dior,84,http://dummyimage.com/103x173.png/ff4444/ffffff,16,61957-1470
Chrystel,Melville,cmelville13@arizona.edu,braMH0KU,Female,770-307-2584,3529670934626074,Methyl Salicylate,"The Hain Celestial Group, Inc",44,http://dummyimage.com/140x209.png/dddddd/000000,44,61995-0602
Avril,Bullocke,abullocke14@pinterest.com,O43glT,Female,297-490-4902,,OXYGEN,"Jenco Medical and Mobility, Inc",94,http://dummyimage.com/187x196.png/ff4444/ffffff,89,66988-100
Tatum,Annear,tannear15@nationalgeographic.com,nlqssNVD5nJ1,Female,597-769-3189,30407298414682,Aluminum zirconium tetrachlorohydrex gly,Colgate-Palmolive Company,97,http://dummyimage.com/200x199.png/cc0000/ffffff,26,35000-859
Dolf,Corpes,dcorpes16@dmoz.org,aUhgDqmT,Male,943-541-1196,,Bahia Grass,"ALK-Abello, Inc.",2,http://dummyimage.com/184x218.png/dddddd/000000,21,0268-6605
Ethelda,Zimmermanns,ezimmermanns17@utexas.edu,BwdgrmIDzHv,Female,131-437-1135,,clonidine hydrochloride,"Mutual Pharmaceutical Company, Inc.",45,http://dummyimage.com/188x156.png/dddddd/000000,14,53489-216
Lina,Aslott,laslott18@businessweek.com,ZEAAEynyTNMS,Female,368-883-8825,,Alcohol,"Bath & Body Works, Inc.",83,http://dummyimage.com/116x237.png/dddddd/000000,27,62670-3573
Taite,Strathman,tstrathman19@wiley.com,Y1L0OTWxiK3,Male,972-649-9468,3566666373937521,Acetaminophen and Phenylephrine HCl,"Stephen L. LaFrance Pharmacy, Inc.",49,http://dummyimage.com/243x217.png/5fa2dd/ffffff,98,15127-965
Barnabe,Duberry,bduberry1a@apache.org,1tchKNyd,Male,659-828-0735,3528514627487330,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO AMERICA INC.,28,http://dummyimage.com/120x186.png/5fa2dd/ffffff,57,52686-250
Kristy,Madgin,kmadgin1b@barnesandnoble.com,gLlAsqy4aFS9,Female,398-294-9539,3529973543082535,"Aconitum napellus, Bryonia alba, Hypericum perforatum",Wise Consumer Products,26,http://dummyimage.com/171x238.png/dddddd/000000,45,42346-600
Trista,Tidbald,ttidbald1c@sogou.com,Omw6poUG2DO,Female,144-853-8375,4508673610378401,Octinoxate,Rimmel Inc.,63,http://dummyimage.com/216x228.png/cc0000/ffffff,71,76485-1010
Cherye,Anyon,canyon1d@google.es,HENuWE93K6un,Female,269-516-3840,4175004693817820,Titanium Dioxide and Zinc Oxide,MDSolarSciences,30,http://dummyimage.com/147x104.png/dddddd/000000,8,49358-554
Auroora,Tick,atick1e@newsvine.com,PzqU0bo,Female,126-997-3035,,oxymetazoline hydrochloride,"Matrixx Initiatives, Inc.",82,http://dummyimage.com/159x200.png/cc0000/ffffff,22,62750-005
Rebekkah,Nuccitelli,rnuccitelli1f@phoca.cz,YjsskOFv,Female,377-945-3604,,"Allium sativum, Berberis vulgaris, Fucus vesiculosus, Phytolacca decandra, Argentum metallicum, Aurum metallicum, Calcarea fluorica, Calcarea phosphorica, Iodium, Mercurius solubilis,","Energique, Inc.",81,http://dummyimage.com/105x193.png/5fa2dd/ffffff,45,44911-0031
Erny,Dearle-Palser,edearlepalser1g@guardian.co.uk,AcPCgk9A,Male,598-806-4593,,CEFOTAXIME,WOCKHARDT LIMITED,55,http://dummyimage.com/147x212.png/cc0000/ffffff,61,55648-948
Sanders,Tarling,starling1h@dion.ne.jp,7i3DwmF,Male,201-637-9030,,Carbon Dioxide-Oxygen-Nitrogen Mixture,"Roberts Oxygen Company, Inc.",45,http://dummyimage.com/248x134.png/ff4444/ffffff,52,46123-036
